"2021 Inventory Report (Newly Acquired Materials)"
"Date Created:","Jun 06, 2021"
"Time Created:","2:32:27 PM"
Filters:,none
Search:,none
"Number of Newly Acquired Materials:",4445

"Accession Number",Barcode,"Call Number",Title,Author,Volume,Year,Edition,Publisher,"Publication Year","Circulation Type",Type,Status,Source,Location,"Last Year Inventoried"
"NSO-VF 1k",,"NSO-VF 1j","Census of establishments (CE).",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1l",,"NSO-VF 1l","Census of Philippine business and industry (CPBI).",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1m",,"NSO-VF 1m","Census of population : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1n",,"NSO-VF 1n","Census of population and housing : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1n1",,"NSO-VF 1n","Census of population and housing : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1n2",,"NSO-VF 1n","Census of population and housing : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1o",,"NSO-VF 1o","Census of population and housing : questions and answers.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1a",,"NSO-VF 1a","All households public use file (AHPUF).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1a1",,"NSO-VF 1a","All households public use file (AHPUF).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1a2",,"NSO-VF 1a","All households public use file (AHPUF).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1p",,"NSO-VF 1p","Civil registration information system (CRIS).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1p1",,"NSO-VF 1p","Civil registration information system (CRIS).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1p2",,"NSO-VF 1p","Civil registration information system (CRIS).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1q",,"NSO-VF 1q","Commodity flow statistics.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1q1",,"NSO-VF 1q","Commodity flow statistics.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1r",,"NSO-VF 1q","Commodity flow statistics.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1s",,"NSO-VF 1s","Consumer price index (CPI), wholesale price index (WPI), retail price index (RPI) : a primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1s1",,"NSO-VF 1s","Consumer price index (CPI), wholesale price index (WPI), retail price index (RPI) : a primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1t",,"NSO-VF 1s","Consumer price index (CPI), wholesale price index (WPI), retail price index (RPI) : a primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1u",,"NSO-VF 1u","Mga dapat malaman sa pagrerehistrong sibil.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1u1",,"NSO-VF 1u","Mga dapat malaman sa pagrerehistrong sibil.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1u2",,"NSO-VF 1u","Mga dapat malaman sa pagrerehistrong sibil.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1v",,"NSO-VF 1v","Family income and expenditures survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1v1",,"NSO-VF 1v","Family income and expenditures survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1v2",,"NSO-VF 1v","Family income and expenditures survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1w",,"NSO-VF 1w","Family income and expenditures survey : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1w1",,"NSO-VF 1w","Family income and expenditures survey : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1x",,"NSO-VF 1w","Family income and expenditures survey : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1y",,"NSO-VF 1y","Family planning survey : primer.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1z",,"NSO-VF 1z","Family planning survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2d",,"NSO-VF 2d","Function literacy, education and mass media survey (FLEMMS) : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2d1",,"NSO-VF 2d","Function literacy, education and mass media survey (FLEMMS) : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2e",,"NSO-VF 2e","Household energy consumption survey (HECS) : primer.",,0,0,,NSO,1995,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2e1",,"NSO-VF 2e","Household energy consumption survey (HECS) : primer.",,0,0,,NSO,1995,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2f",,"NSO-VF 2f","Input-output table.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2g",,"NSO-VF 2f","Input-output table.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2h",,"NSO-VF 2h","Labor force survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2h1",,"NSO-VF 2h","Labor force survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2h2",,"NSO-VF 2h","Labor force survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2i",,"NSO-VF 2i","Labor force survey : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2i1",,"NSO-VF 2i","Labor force survey : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2j",,"NSO-VF 2i","Labor force survey : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2k",,"NSO-VF 2k","Late registration : birth, death, marriage.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2k1",,"NSO-VF 2k","Late registration : birth, death, marriage.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2k2",,"NSO-VF 2k","Late registration : birth, death, marriage.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2l",,"NSO-VF 2l","Maternal and child health survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2m",,"NSO-VF 2m","National demographic survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2m1",,"NSO-VF 2m","National demographic survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2m2",,"NSO-VF 2m","National demographic survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2o",,"NSO-VF 2o","National health survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2o1",,"NSO-VF 2o","National health survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2o2",,"NSO-VF 2o","National health survey : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2p",,"NSO-VF 2p","National statistics office.",,0,0,,NSO,1993,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2p1",,"NSO-VF 2p","National statistics office.",,0,0,,NSO,1993,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2q",,"NSO-VF 2q","National statistics office : primer.",,0,0,,NSO,1,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2r",,"NSO-VF 2r","NSO electronic bulletin board system.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2r1",,"NSO-VF 2r","NSO electronic bulletin board system.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2r2",,"NSO-VF 2r","NSO electronic bulletin board system.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
NSO-3d,,NSO-3d,"2004 family planning survey : facts and figures.",,0,0,,NSO,2004,"Room Use Only",Book,"On Shelf",,"Main Library",0
"NSO-VF 2v",,"NSO-VF 2v","Primer on the annual survey of construction projects of local government and construction statistics from approved building permits.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2v2",,"NSO-VF 2v","Primer on the annual survey of construction projects of local government and construction statistics from approved building permits.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2v3",,"NSO-VF 2v","Primer on the annual survey of construction projects of local government and construction statistics from approved building permits.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2w",,"NSO-VF 2w","Primer on the annual survey of establishments (ASE), quarterly survey of establishments (QSE), survey of key enterprises in manufacturing (SKEM).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2w1",,"NSO-VF 2w","Primer on the annual survey of establishments (ASE), quarterly survey of establishments (QSE), survey of key enterprises in manufacturing (SKEM).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2w2",,"NSO-VF 2w","Primer on the annual survey of establishments (ASE), quarterly survey of establishments (QSE), survey of key enterprises in manufacturing (SKEM).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2x",,"NSO-VF 2x","Primer on the census of establishments (CE).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2x1",,"NSO-VF 2x","Primer on the census of establishments (CE).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2x2",,"NSO-VF 2x","Primer on the census of establishments (CE).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2y",,"NSO-VF 2y","Primer on the consumer price index (CPI), wholesale price index (WPI), retail price index (RPI).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2y1",,"NSO-VF 2y","Primer on the consumer price index (CPI), wholesale price index (WPI), retail price index (RPI).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2y2",,"NSO-VF 2y","Primer on the consumer price index (CPI), wholesale price index (WPI), retail price index (RPI).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3a",,"NSO-VF 3a","Primer on the input-output table.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3a1",,"NSO-VF 3a","Primer on the input-output table.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3a2",,"NSO-VF 3a","Primer on the input-output table.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2z",,"NSO-VF 2z","Primer on foreign trade statistics of the Philippines.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2z1",,"NSO-VF 2z","Primer on foreign trade statistics of the Philippines.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 2z2",,"NSO-VF 2z","Primer on foreign trade statistics of the Philippines.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3b",,"NSO-VF 3b","Primer on late registration.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3c",,"NSO-VF 3b","Primer on late registration.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3d",,"NSO-VF 3d","Primer on the list of establishments (LE).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3d1",,"NSO-VF 3d","Primer on the list of establishments (LE).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3d2",,"NSO-VF 3d","Primer on the list of establishments (LE).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3e",,"NSO-VF 3e","Primer on the Philippine commodity flow statistics.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3e1",,"NSO-VF 3e","Primer on the Philippine commodity flow statistics.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3e2",,"NSO-VF 3e","Primer on the Philippine commodity flow statistics.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3f",,"NSO-VF 3f","Primer on the quarterly survey of employment and compensation of local government (QSLG), quarterly survey of employment and compensation in the local government (QSNG).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3f1",,"NSO-VF 3f","Primer on the quarterly survey of employment and compensation of local government (QSLG), quarterly survey of employment and compensation in the local government (QSNG).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3f2",,"NSO-VF 3f","Primer on the quarterly survey of employment and compensation of local government (QSLG), quarterly survey of employment and compensation in the local government (QSNG).",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3g",,"NSO-VF 3g","Survey on children 5 to 17 years old : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3g1",,"NSO-VF 3g","Survey on children 5 to 17 years old : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3h",,"NSO-VF 3g","Survey on children 5 to 17 years old : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3i",,"NSO-VF 3i","Survey on overseas Filipinos : primer.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3j",,"NSO-VF 3i","Survey on overseas Filipinos : primer.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3k",,"NSO-VF 3k","What you need to know about birth registration of children in need of special protection.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3k1",,"NSO-VF 3k","What you need to know about birth registration of children in need of special protection.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3k2",,"NSO-VF 3k","What you need to know about birth registration of children in need of special protection.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3l",,"NSO-VF 3l","What you need to know about civil registration.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3l1",,"NSO-VF 3l","What you need to know about civil registration.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3l2",,"NSO-VF 3l","What you need to know about civil registration.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3m",,"NSO-VF 3m","What you need to know about civil registration.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3n",,"NSO-VF 3m","What you need to know about civil registration.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3o",,"NSO-VF 3o","What you should know about the PSQ.",,0,0,,NSO,2000,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3p",,"NSO-VF 3p","What you need to know about republic act 9048 : an act authorizing the C/MCR or consul general to corret a clerical or typographical error in an entry and",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3p1",,"NSO-VF 3p","What you need to know about republic act 9048 : an act authorizing the C/MCR or consul general to corret a clerical or typographical error in an entry and",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3p2",,"NSO-VF 3p","What you need to know about republic act 9048 : an act authorizing the C/MCR or consul general to corret a clerical or typographical error in an entry and",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3q",,"NSO-VF 3q","What you need to know about republic act 9255 : an act allowing illegitimate children to use the surname of their father, amending for the purpose, article 176 of executive order no. 209, otherwise known as the &quot;family code of the Philippines&quot;.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3q1",,"NSO-VF 3q","What you need to know about republic act 9255 : an act allowing illegitimate children to use the surname of their father, amending for the purpose, article 176 of executive order no. 209, otherwise known as the &quot;family code of the Philippines&quot;.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 3q2",,"NSO-VF 3q","What you need to know about republic act 9255 : an act allowing illegitimate children to use the surname of their father, amending for the purpose, article 176 of executive order no. 209, otherwise known as the &quot;family code of the Philippines&quot;.",,0,0,,NSO.,0,"Room Use Only",Book,"In Process",,"Main Library",0
UBULB0070941,UBULB0070941,"Cordillera Monograph","Reconfiguring margins : secondhand clothing and street vending in the Philippines","Milgram, Barbara Lynne",0,0,,,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
UBULB0070939,UBULB0070939,"Cordillera Monograph","'Ukay-ukay' chic : tales of second hand clothing fashion and trade in the Philippine Cordillera","Milgram, Barbara Lynne",0,0,,,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
UBULB0070940,UBULB0070940,"Cordillera Monograph","Tangled fields : rethinking positionality and ethics in research on women's work in a Hong Kong--Philippine  trade","Milgram, Barbara Lynne",0,0,,,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
UBULB0070942,UBULB0070942,"Cordillera Monograph","Reconfiguring space, mobilizing livelihood street vending, legality, and work in the Philippines","Milgram, Barbara Lynne",0,0,,,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
"NSO-VF 2n",,"NSO-VF 2n","National demographic and health survey 1998 : fact sheet.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
KTRC-VDR#013,,"KTRC- VDR#013",Tsunami,,0,0,,PHIVOLCS-DOST,2007,"Room Use Only","Computer File","On Shelf",,"Knowledge and Training Resource Center",0
KTRC-ACD#017,,"KTRC- ACD#016 KTRC- ","Priority sites for conservation in the Philippines marine key biodiversity areas.",,0,0,,"Conservation International Philippines",2009,"Room Use Only","Computer File","On Shelf",,"Knowledge and Training Resource Center",0
UBULB0070952,UBULB0070952,"Cordillera Monograph","'These brothers of ours' : Poblete's obreros and the road to Baguio, 1903-1905","Bankoff, Greg",0,0,,,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
KTRC-VDR#015,,"KTRC- VDR#015","The Earth trembled ... then killer waves came! 15 November 1994 Or. Mindoro earthquake.",,0,0,,"PHIVOLCS-GDAPD Audio-Visual Unit",0,"Room Use Only","Computer File","On Shelf",,"Knowledge and Training Resource Center",0
KTRC-ACD#013,,"KTRC- ACD#012 ACD#01","Key indicators for Asia and the Pacific 2010",,0,0,,"Asian Development Bank",0,"Room Use Only","Computer File","On Shelf",,"Knowledge and Training Resource Center",0
